Sample,scg,tel,eff.scg,eff.tel,plate,ref.tel,ref.scg
GR40.126,18.005,13.444,1.843,1.906,2,11.724,17.977
GR40.126,18.005,13.444,1.843,1.906,2,11.724,17.977
IO29.1,14.865,11.807,1.839,1.907,3,11.226,17.531
IO29.1,14.865,11.807,1.839,1.907,3,11.226,17.531
IO29.1,14.865,11.807,1.839,1.907,3,11.226,17.531
IO29.11,16.618,11.981,1.839,1.907,3,11.226,17.531
IO29.11,16.618,11.981,1.839,1.907,3,11.226,17.531
IO29.11,16.618,11.981,1.839,1.907,3,11.226,17.531
IO29.2,15.913,11.64,1.839,1.907,3,11.226,17.531
IO29.2,15.913,11.64,1.839,1.907,3,11.226,17.531
IO29.2,15.913,11.64,1.839,1.907,3,11.226,17.531
IO29.3,16.78,10.903,1.839,1.907,3,11.226,17.531
IO29.3,16.78,10.903,1.839,1.907,3,11.226,17.531
IO29.3,16.78,10.903,1.839,1.907,3,11.226,17.531
IO29.5,16.604,12.252,1.839,1.907,3,11.226,17.531
IO29.5,16.604,12.252,1.839,1.907,3,11.226,17.531
IO29.5,16.604,12.252,1.839,1.907,3,11.226,17.531
IO29.9,17.179,12.371,1.839,1.907,3,11.226,17.531
IO29.9,17.179,12.371,1.839,1.907,3,11.226,17.531
IO29.9,17.179,12.371,1.839,1.907,3,11.226,17.531
IO43.74,18.256,10.174,1.839,1.907,3,11.226,17.531
IO43.74,18.256,10.174,1.839,1.907,3,11.226,17.531
IO43.74,18.256,10.174,1.839,1.907,3,11.226,17.531
IO43.75,16.589,11.1,1.839,1.907,3,11.226,17.531
IO43.75,16.589,11.1,1.839,1.907,3,11.226,17.531
IO43.75,16.589,11.1,1.839,1.907,3,11.226,17.531
IO43.86,18.212,8.702,1.839,1.907,3,11.226,17.531
IO43.86,18.212,8.702,1.839,1.907,3,11.226,17.531
IO43.86,18.212,8.702,1.839,1.907,3,11.226,17.531
IO43.87,18.124,10.847,1.839,1.907,3,11.226,17.531
IO43.87,18.124,10.847,1.839,1.907,3,11.226,17.531
IO43.87,18.124,10.847,1.839,1.907,3,11.226,17.531
IO43.92,17.457,10.29,1.839,1.907,3,11.226,17.531
IO43.92,17.457,10.29,1.839,1.907,3,11.226,17.531
IO43.92,17.457,10.29,1.839,1.907,3,11.226,17.531
IO43.93,18.458,12.962,1.839,1.907,3,11.226,17.531
IO43.93,18.458,12.962,1.839,1.907,3,11.226,17.531
IO43.93,18.458,12.962,1.839,1.907,3,11.226,17.531
LG1,19.09,10.389,1.847,1.848,1,8.581,17.333
LG1,19.09,10.389,1.847,1.848,1,8.581,17.333
LG1,19.09,10.389,1.847,1.848,1,8.581,17.333
LG10,18.522,8.197,1.847,1.848,1,8.581,17.333
LG10,18.522,8.197,1.847,1.848,1,8.581,17.333
LG10,18.522,8.197,1.847,1.848,1,8.581,17.333
LG13,18.983,7.862,1.847,1.848,1,8.581,17.333
LG13,18.983,7.862,1.847,1.848,1,8.581,17.333
LG13,18.983,7.862,1.847,1.848,1,8.581,17.333
LG15,17.63,9.016,1.847,1.848,1,8.581,17.333
LG15,17.63,9.016,1.847,1.848,1,8.581,17.333
LG15,17.63,9.016,1.847,1.848,1,8.581,17.333
LG15.13,17.951,10.74,1.839,1.907,3,11.226,17.531
LG15.13,17.951,10.74,1.839,1.907,3,11.226,17.531
LG15.13,17.951,10.74,1.839,1.907,3,11.226,17.531
LG15.14,17.476,12.545,1.839,1.907,3,11.226,17.531
LG15.14,17.476,12.545,1.839,1.907,3,11.226,17.531
LG15.14,17.476,12.545,1.839,1.907,3,11.226,17.531
LG15.15,18.079,12.267,1.839,1.907,3,11.226,17.531
LG15.15,18.079,12.267,1.839,1.907,3,11.226,17.531
LG15.15,18.079,12.267,1.839,1.907,3,11.226,17.531
LG15.16,17.022,13.326,1.839,1.907,3,11.226,17.531
LG15.16,17.022,13.326,1.839,1.907,3,11.226,17.531
LG15.16,17.022,13.326,1.839,1.907,3,11.226,17.531
LG15.17,17.304,13.467,1.839,1.907,3,11.226,17.531
LG15.17,17.304,13.467,1.839,1.907,3,11.226,17.531
LG15.17,17.304,13.467,1.839,1.907,3,11.226,17.531
LG15.18,19.574,15.011,1.839,1.907,3,11.226,17.531
LG15.18,19.574,15.011,1.839,1.907,3,11.226,17.531
LG15.18,19.574,15.011,1.839,1.907,3,11.226,17.531
LG2,18.651,9.322,1.847,1.848,1,8.581,17.333
LG2,18.651,9.322,1.847,1.848,1,8.581,17.333
LG2,18.651,9.322,1.847,1.848,1,8.581,17.333
LG4,20.714,7.425,1.847,1.848,1,8.581,17.333
LG4,20.714,7.425,1.847,1.848,1,8.581,17.333
LG4,20.714,7.425,1.847,1.848,1,8.581,17.333
LG5,19.891,8.546,1.847,1.848,1,8.581,17.333
LG5,19.891,8.546,1.847,1.848,1,8.581,17.333
LG5,19.891,8.546,1.847,1.848,1,8.581,17.333
LG6,19.251,9.022,1.847,1.848,1,8.581,17.333
LG6,19.251,9.022,1.847,1.848,1,8.581,17.333
LG6,19.251,9.022,1.847,1.848,1,8.581,17.333
LG7,18.269,16.197,1.847,1.848,1,8.581,17.333
LG7,18.269,16.197,1.847,1.848,1,8.581,17.333
LG7,18.269,16.197,1.847,1.848,1,8.581,17.333
LG8,19.436,8.762,1.847,1.848,1,8.581,17.333
LG8,19.436,8.762,1.847,1.848,1,8.581,17.333
LG8,19.436,8.762,1.847,1.848,1,8.581,17.333
LP10,21.92,7.856,1.847,1.848,1,8.581,17.333
